,Kanton,Link zur Unterkunft,Name der Unterkunft
0,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/lausanne-bussigny.de.html,Novotel Lausanne Bussigny
1,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/ibis-budget-lausanne-bussigny.de.html,ibis budget Bussigny Lausanne
2,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/swisstech.de.html,SwissTech HotelDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
3,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/lausanne-crissier.de.html,ibis Lausanne Crissier
4,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/discovery.de.html,Discovery Hotel
5,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/ha-tel-des-inventions-ecublens-lausanne.de.html,Hôtel des Inventions
6,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/la-fleur-du-lac.de.html,La Fleur du Lac
7,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/starling-at-epfl.de.html,Starling Hotel Lausanne
8,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/galion-s-pub.de.html,"GALION Hôtel, Restaurant et Pub"
9,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/le-funi-de-cossonay.de.html,Hôtel Le Funi de CossonayDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
10,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/la-maison-d-igor.de.html,La Maison d'Igor
11,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/de-savoie.de.html,Hotel de Savoie
12,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/de-la-nouvelle-couronne.de.html,Hôtel de la Nouvelle Couronne
13,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/romantik-mont-blanc-au-lac.de.html,Romantik Hotel Mont Blanc au Lac
14,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/hostellerie-le-petit-manoir.de.html,Hostellerie Le Petit Manoir
15,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/la-longeraie.de.html,Hotel La Longeraie
16,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/aparthotel-46a.de.html, Aparthotel Apart'Hotel 46aDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
17,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/tilausanne.de.html,Tulip Inn Beaulieu Lausanne
18,"
""Waadt, Switzerland""",www.booking.com/hotel/chwww.booking.com/hotel-bellerive.de.html,Hôtel Bellerive
19,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/lausanne-centre.de.html,ibis Lausanne Centre
20,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/baron-tavernier.de.html,Baron Tavernier Hotel & SPADiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
21,"
""Waadt, Switzerland""",www.booking.com/hotel/chwww.booking.com/hoteldumarche.de.html,Hôtel du Marché
22,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/minotelcrystal.de.html,Hôtel Crystal
23,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/du-boulevard.de.html, Aparthotel Hôtel Résidence du Boulevard
24,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/regina.de.html,Hotel Regina
25,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/voyageurs.de.html,Hôtel des Voyageurs Boutique
26,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/lausannepalace.de.html,Lausanne Palace
27,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/my-suitevillage-lugrin.de.html, Aparthotel Park & Suites Village Evian-LugrinDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
28,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/alphapalmiers.de.html,Alpha-Palmiers by Fassbind
29,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/agoralausanne.de.html,Agora Swiss Night by Fassbind
30,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/continental.de.html,Continental Hotel Lausanne
31,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/elite-lausanne.de.html,Elite
32,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/victoria-lausanne.de.html,Hotel Victoria
33,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/alagare.de.html,Hotel AlaGare
34,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/ha-tel-cafe-du-palais.de.html,Hôtel Café du PalaisDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
35,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/carltonlausanne.de.html,Carlton Lausanne Boutique Hôtel
36,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/des-patients-lausanne.de.html,Hôtel des Patients
37,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/citylausanne.de.html,Swiss Wine by Fassbind
38,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/le-bois-joli-evian.de.html,Hotel The Originals Le Bois Joli (ex Relais du Silence)Diese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
39,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/movenpick-lausanne.de.html,Mövenpick Hotel Lausanne
40,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/royal-savoy-lausanne.de.html,Royal Savoy Hotel & Spa
41,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/de-la-paix-lausanne.de.html,Hôtel de la Paix Lausanne
42,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/lausanne-guesthouse.de.html,Hotel Lausanne by Fassbind
43,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/mirabeau.de.html,Best Western Plus Hotel Mirabeau
44,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/au-lac.de.html,Hotel Aulac
45,"
""Waadt, Switzerland""",www.booking.com/hotel/fr/auberge-d-anthy.de.html,Auberge d'AnthyDiese Unterkunft ist zu Ihren Daten auf unserer Seite nicht verfügbar
46,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/chateau-d-ouchy.de.html,Château d'Ouchy
47,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/du-port.de.html,Hôtel du Port
48,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/angleterre-residence.de.html,Hotel Angleterre & Résidence
49,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/beaurivagepalace.de.html,Beau-Rivage Palace
50,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/aquatis.de.html,Aquatis Hotel
51,"
""Waadt, Switzerland""",www.booking.com/hotel/ch/auberge-de-la-croix-blanche-lavigny.de.html,Auberge de La Croix Blanche
