,Adresse,Anzahl Bewertungen,Anzahl Sterne,Art der Unterkunft,Ausstattung,Gesamtnote,Hotelpersonal,Komfort,Lage,Land,Link zu Unterkunft,Name des Hotels,Ort,Preis/Leistung,Sauberkeit,Kanton
0,"Ohringerstrasse 2, 8472 Seuzach, Schweiz", 63 ,,Hotel,"9,2"," 9,1 ","9,2","9,4","8,5", Schweiz,https://www.booking.com/hotel/ch/sonne-seuzach.de.html,Hotel Sonne Seuzach,"47.53626200,8.72925700","8,7","9,5",Zürich
1,"6 Richtistrasse, 8304 Wallisellen, Schweiz", 52 ,3,Hotel,"7,8"," 8,1 ","8,4","8,0","7,0", Schweiz,https://www.booking.com/hotel/ch/b-amp-b-zurich-wallisellen.de.html,B&B Hotel Zürich Wallisellen,"47.41197700,8.59312900","8,1","9,2",Zürich
2,"Im Zentrum 2, 8105 Regensdorf, Schweiz", 979 ,4,Hotel,"8,1"," 8,1 ","8,3","8,4","7,5", Schweiz,https://www.booking.com/hotel/ch/moevenpickhotelzurich.de.html,Mövenpick Hotel Zürich-Regensdorf,"47.43107031,8.46756220","7,6","8,7",Zürich
3,"Konradstrasse 39, Gewerbeschule, 8005 Zürich, Schweiz", 3.756 ,3,Hotel,"7,9"," 8,3 ","8,7","8,0","9,0", Schweiz,https://www.booking.com/hotel/ch/bookingsbestwesternhotelmontana.de.html,Hotel Montana Zürich,"47.38082231,8.53534698","7,9","8,6",Zürich
4,"Holbergstrasse 1, 8302 Kloten, Schweiz", 3.210 ,3,Hotel,"8,4"," 8,8 ","8,9","8,6","8,9", Schweiz,https://www.booking.com/hotel/ch/welcome-inn.de.html,Hotel Welcome Inn,"47.44919265,8.58158089","8,4","9,2",Zürich
5,"Bahnhofstrasse 87, Stadtzentrum, 8021 Zürich, Schweiz", 2.220 ,4,Hotel,"8,0"," 8,4 ","8,6","8,2","9,5", Schweiz,https://www.booking.com/hotel/ch/gotthard.de.html,Hotel St.Gotthard,"47.37645421,8.53927910","7,4","8,7",Zürich
6,"Hohlstrasse 18, Aussersihl, 8004 Zürich, Schweiz", 808 ,3,Hotel,"7,6"," 7,7 ","7,9","7,7","7,1", Schweiz,https://www.booking.com/hotel/ch/trip-inn-zurich-zurich.de.html,Trip Inn Zurich Hotel,"47.37710100,8.52754600","7,4","8,6",Zürich
7,"Hofstrasse 21, 8181 Höri, Schweiz", 344 ,3,Hotel,"7,7"," 7,5 ","6,7","7,9","6,7", Schweiz,https://www.booking.com/hotel/ch/hotelhoerinn-ch.de.html,Hotel Höri Inn,"47.51231400,8.51930603","7,4","8,4",Zürich
8,"Walter-Mittelholzer-Strasse 8, 8152 Glattbrugg, Schweiz", 1.756 ,4,Hotel,"7,9"," 8,2 ","8,1","8,2","8,5", Schweiz,https://www.booking.com/hotel/ch/movenpickzurichairport.de.html,Mövenpick Hotel Zürich-Airport,"47.43963382,8.56856883","7,5","8,6",Zürich
9,"Boldernstrasse 83, 8708 Männedorf, Schweiz", 490 ,3,Hotel,"7,7"," 8,3 ","8,7","7,6","9,0", Schweiz,https://www.booking.com/hotel/ch/boldern-evang-tagungs-und-studienzentrum.de.html,Hotel Boldern,"47.26219769,8.70198190","7,6","8,8",Zürich
10,"Rikonerstr. 19, 8307 Effretikon, Schweiz", 140 ,,Hotel,"8,4"," 8,3 ","8,1","8,4","8,0", Schweiz,https://www.booking.com/hotel/ch/rubus.de.html,Hotel Rubus,"47.43012230,8.68687149","7,6","9,2",Zürich
11,"Central 1, Stadtzentrum, 8001 Zürich, Schweiz", 2.374 ,4,Hotel,"8,1"," 8,4 ","8,6","8,2","9,4", Schweiz,https://www.booking.com/hotel/ch/centralplaza.de.html,Central Plaza,"47.37717211,8.54346268","7,4","8,7",Zürich
12,"Leonhardstrasse 1, Stadtzentrum, 8001 Zürich, Schweiz", 3.889 ,3,Hotel,"8,3"," 8,5 ","8,6","8,3","8,8", Schweiz,https://www.booking.com/hotel/ch/leoneck.de.html,Leoneck Swiss Hotel,"47.37906331,8.54537174","7,8","8,9",Zürich
13,"Langstrasse 150, Aussersihl, 8004 Zürich, Schweiz", 1.638 ,4,Hotel,"9,3"," 9,0 ","9,2","9,2","8,9", Schweiz,https://www.booking.com/hotel/ch/25hours-zurich-langstrasse.de.html,25hours Hotel Langstrasse,"47.38029933,8.52850130","8,3","9,4",Zürich
14,"Badenerstrasse 537, Altstetten, 8048 Zürich, Schweiz", 3.217 ,4,Hotel,"8,3"," 8,3 ","8,6","8,5","7,8", Schweiz,https://www.booking.com/hotel/ch/zurich-city.de.html,H+ Hotel Zürich,"47.38251678,8.50077331","7,9","8,8",Zürich
