,Anzahl Unterkünfte insgesamt,Land,Link zu den Unterkünften,Link zum Land
0," 30.208
",Österreich,https://www.booking.com/searchresults.de.html?label=gen173nr-1FCAIoDjgTSAdYBGgsiAEBmAEHuAEHyAEM2AEB6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fat.de.html%3Flabel%3Dgen173nr-1FCAIoDjgTSAdYBGgsiAEBmAEHuAEHyAEM2AEB6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=14&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/at.de.html
1," 13.476
",Schweiz,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoLDgcSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fch.de.html%3Flabel%3Dgen173nr-1DCAIoLDgcSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=204&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/ch.de.html
2," 90.494
",Kroatien,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoZTgeSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fhr.de.html%3Flabel%3Dgen173nr-1DCAIoZTgeSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=54&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/hr.de.html
3," 77.792
",Deutschland,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoOzgGSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fde.de.html%3Flabel%3Dgen173nr-1DCAIoOzgGSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=80&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/de.de.html
4," 1.679
",Mauritius,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIonQFCAm11SAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fmu.de.html%3Flabel%3Dgen173nr-1DCAIonQFCAm11SAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=135&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/mu.de.html
5," 2.142
",Malta,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIonAFCAm10SAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fmt.de.html%3Flabel%3Dgen173nr-1DCAIonAFCAm10SAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=131&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/mt.de.html
6," 13.637
",Niederlande,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoqQE4F0gHWARoLIgBAZgBB7gBB8gBDNgBA-gBAfgBAogCAagCAw&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fnl.de.html%3Flabel%3Dgen173nr-1DCAIoqQE4F0gHWARoLIgBAZgBB7gBB8gBDNgBA-gBAfgBAogCAagCAw%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=149&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/nl.de.html
7," 655
",Singapur,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIoyQFCAnNnSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fsg.de.html%3Flabel%3Dgen173nr-1DCAIoyQFCAnNnSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=190&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/sg.de.html
8," 1.658
",Island,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIocDghSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fis.de.html%3Flabel%3Dgen173nr-1DCAIocDghSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=97&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/is.de.html
9," 193.095
",Italien,https://www.booking.com/searchresults.de.html?label=gen173nr-1DCAIocTgDSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID&sid=4602b0d50a82e21757f969718ff001d0&sb=1&src=country&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Fcountry%2Fit.de.html%3Flabel%3Dgen173nr-1DCAIocTgDSAdYBGgsiAEBmAEHuAEHyAEM2AED6AEB-AECiAIBqAID%3Bsid%3D4602b0d50a82e21757f969718ff001d0%3Binac%3D0%26%3B&ss=+&is_ski_area=0&dest_id=104&dest_type=country&checkin_year=&checkin_month=&checkout_year=&checkout_month=&no_rooms=1&group_adults=2&group_children=0&b_h4u_keep_filters=&from_sf=1,https://www.booking.com/country/it.de.html
